Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7, C8",0402,7,100nF,C1525
"C10, C9",0402,2,1uF,C52923
C2,0603,1,10uF,C57112
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323_no_silk,18,D_Small,C908234
F1,1206,1,500mA,C70076
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"R1, R2, R3, R4",0402,4,5.1k,C25905
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U2,SOT-143,1,PRTR5V0U2X,C2827688
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
"boop, rebruce",SW_SPST_TL3342,2,SW_SPST,C318884
